authorID,authorName
1211,Clark Howard
1212,Sherry Gershon Gottlieb
1213,Steven Hirsch
1214,John  Miller
1215,Arlene Eisenberg
1216,Kelley Jones
1217,S.E. Hinton
1218,Kristen Kidder
1219,Johann Wolfgang von Goethe
1220,Sieglinde Lemke
1221,Gemma O'Connor
1222,Nadia May
1223,Ellen Raskin
1224,Scott Wolven
1225,The New York Times
1226,Jack Weatherford
1227,Mitchell Sharmat
1228,Jeremy D. Zawodny
1229,Rodney Livingstone
1230,Gary Richard Thompson
1231,Eileen Gunn
1232,Deidre Shauna Lynch
1233,Andrew P. Trout
1234,Dennis Holland
1235,William Stacy Johnson
1236,Joseph McMoneagle
1237,John Helfers
1238,Kathryn Lamb
